epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.1655,1.41189,3.39627,1.61298,0.01523,0.91901,0.22642,0.14917,1.17161,3.25323,1.40732,0.000251102,0.000251102,0.000251102
2,102.882,1.34887,2.39491,1.53992,0.62061,0.53491,0.56421,0.36798,1.23395,1.97945,1.56692,0.000504924,0.000504924,0.000504924
3,153.247,1.33069,1.9588,1.51726,0.43782,0.40069,0.36968,0.24015,1.3901,2.40531,1.85647,0.000756207,0.000756207,0.000756207
4,203.197,1.31201,1.8206,1.51218,0.56457,0.5517,0.56752,0.36009,1.25306,1.8711,1.57736,0.00075758,0.00075758,0.00075758
5,253.052,1.27363,1.67241,1.47358,0.70526,0.65022,0.70574,0.49266,1.16091,1.49963,1.46304,0.000753774,0.000753774,0.000753774
6,303.08,1.25185,1.60478,1.45606,0.68109,0.67909,0.73201,0.50757,1.1492,1.45785,1.42855,0.000749967,0.000749967,0.000749967
7,353.298,1.23336,1.5582,1.44285,0.73685,0.64695,0.72494,0.52558,1.08127,1.4311,1.39304,0.000746161,0.000746161,0.000746161
8,403.216,1.22263,1.47436,1.42815,0.75345,0.66884,0.76466,0.53689,1.1599,1.35946,1.40243,0.000742354,0.000742354,0.000742354
9,453.085,1.19787,1.44248,1.42259,0.79472,0.68622,0.80405,0.59515,1.04741,1.17646,1.34374,0.000738548,0.000738548,0.000738548
10,502.792,1.18342,1.3788,1.40773,0.72372,0.67547,0.749,0.54383,1.09917,1.34282,1.36362,0.000734741,0.000734741,0.000734741
11,552.588,1.18371,1.35945,1.40645,0.77032,0.7584,0.83306,0.60662,1.05084,1.30627,1.33816,0.000730935,0.000730935,0.000730935
12,602.051,1.15632,1.31551,1.39693,0.78105,0.75377,0.83875,0.61075,1.06014,1.04227,1.31389,0.000727128,0.000727128,0.000727128
13,651.484,1.15025,1.30603,1.38814,0.80496,0.66882,0.78529,0.56995,1.11433,1.35067,1.36349,0.000723321,0.000723321,0.000723321
14,700.848,1.12066,1.24743,1.366,0.8306,0.77753,0.86359,0.68474,0.86636,0.91545,1.21583,0.000719515,0.000719515,0.000719515
15,750.218,1.11599,1.2776,1.36817,0.81646,0.7963,0.87667,0.6383,1.06826,1.04419,1.31506,0.000715708,0.000715708,0.000715708
16,799.517,1.10999,1.21998,1.36504,0.8316,0.73153,0.83961,0.62541,1.05498,1.05222,1.31341,0.000711902,0.000711902,0.000711902
17,849.142,1.10943,1.21357,1.36555,0.77608,0.73856,0.82826,0.62376,0.97715,1.08944,1.25144,0.000708095,0.000708095,0.000708095
18,898.736,1.09871,1.21339,1.36156,0.8101,0.79992,0.87776,0.66074,0.99712,0.94772,1.26082,0.000704289,0.000704289,0.000704289
19,948.341,1.08663,1.17531,1.35201,0.83001,0.77338,0.87775,0.66792,0.97401,0.95525,1.24922,0.000700482,0.000700482,0.000700482
20,997.482,1.07221,1.15144,1.33952,0.84701,0.81172,0.88772,0.66919,1.01511,0.84371,1.28679,0.000696676,0.000696676,0.000696676
21,1047.05,1.0857,1.16539,1.3489,0.84948,0.77514,0.8928,0.69479,0.91751,0.84137,1.23038,0.000692869,0.000692869,0.000692869
22,1096.27,1.07454,1.14174,1.34632,0.82837,0.77912,0.87477,0.67474,0.93855,0.87621,1.24273,0.000689062,0.000689062,0.000689062
23,1145.72,1.05807,1.1244,1.33536,0.81715,0.78254,0.87553,0.67799,0.95486,0.98107,1.22862,0.000685256,0.000685256,0.000685256
24,1194.82,1.06647,1.11329,1.33628,0.85618,0.79594,0.89291,0.7035,0.90169,0.8245,1.21855,0.000681449,0.000681449,0.000681449
25,1244.5,1.06664,1.13964,1.33861,0.83766,0.79823,0.88428,0.67392,0.9669,0.84839,1.24938,0.000677643,0.000677643,0.000677643
26,1293.68,1.07704,1.11923,1.33987,0.87384,0.82401,0.91553,0.71207,0.93994,0.74898,1.22215,0.000673836,0.000673836,0.000673836
27,1343.02,1.03223,1.08168,1.31722,0.81671,0.79671,0.88596,0.67688,0.95504,0.8951,1.23323,0.00067003,0.00067003,0.00067003
28,1392.37,1.0549,1.10504,1.32801,0.84315,0.7926,0.88759,0.7013,0.86261,0.80798,1.18094,0.000666223,0.000666223,0.000666223
29,1441.72,1.03561,1.0703,1.31412,0.87122,0.83497,0.91672,0.7321,0.85157,0.73231,1.17674,0.000662417,0.000662417,0.000662417
30,1491.15,1.04823,1.07312,1.32151,0.8637,0.82648,0.91639,0.72162,0.88746,0.74493,1.17489,0.00065861,0.00065861,0.00065861
31,1540.52,1.01637,1.05375,1.3055,0.86646,0.77104,0.89665,0.72655,0.81626,0.79311,1.18933,0.000654804,0.000654804,0.000654804
32,1589.91,1.03513,1.05337,1.31135,0.87123,0.79833,0.90074,0.70257,0.94584,0.79281,1.229,0.000650997,0.000650997,0.000650997
33,1639.28,1.02231,1.05702,1.31102,0.86202,0.80229,0.89589,0.70123,0.91897,0.7673,1.20995,0.00064719,0.00064719,0.00064719
34,1688.69,1.02752,1.04084,1.30733,0.88398,0.82527,0.92128,0.74615,0.83766,0.70811,1.17255,0.000643384,0.000643384,0.000643384
35,1738.13,1.01665,1.02333,1.30261,0.84479,0.84335,0.90871,0.74321,0.7747,0.74608,1.13723,0.000639577,0.000639577,0.000639577
36,1787.59,0.99826,1.00681,1.29324,0.86335,0.77943,0.88036,0.71195,0.84832,0.8487,1.17123,0.000635771,0.000635771,0.000635771
37,1836.92,1.00866,1.02574,1.2977,0.87195,0.81601,0.90595,0.73087,0.83597,0.77548,1.15814,0.000631964,0.000631964,0.000631964
38,1886.3,0.99514,0.99799,1.29113,0.87317,0.80949,0.91135,0.73411,0.85212,0.79893,1.15277,0.000628158,0.000628158,0.000628158
39,1935.83,0.99559,0.98662,1.28925,0.87581,0.86422,0.93149,0.73553,0.90012,0.65567,1.18351,0.000624351,0.000624351,0.000624351
40,1985.37,0.99454,1.00423,1.28617,0.88559,0.83418,0.92918,0.72987,0.91463,0.68591,1.17688,0.000620545,0.000620545,0.000620545
41,2034.77,0.99669,1.01413,1.29114,0.86242,0.84229,0.92083,0.74293,0.82282,0.72218,1.15258,0.000616738,0.000616738,0.000616738
42,2084.33,0.98036,0.97683,1.28269,0.88787,0.85187,0.93161,0.76018,0.81497,0.65717,1.13432,0.000612931,0.000612931,0.000612931
43,2133.89,0.99684,1.00682,1.28903,0.86371,0.83359,0.90879,0.747,0.78447,0.74234,1.13117,0.000609125,0.000609125,0.000609125
44,2183.47,0.9901,0.98055,1.28631,0.86155,0.83246,0.91658,0.7369,0.82823,0.72492,1.14263,0.000605318,0.000605318,0.000605318
45,2232.79,0.97296,0.9634,1.2766,0.89028,0.81859,0.92357,0.75385,0.79577,0.71695,1.12642,0.000601512,0.000601512,0.000601512
46,2281.89,0.97178,0.95455,1.27677,0.88144,0.84477,0.92976,0.7591,0.81596,0.64764,1.13807,0.000597705,0.000597705,0.000597705
47,2330.94,0.97124,0.95847,1.27103,0.8924,0.84508,0.92716,0.75501,0.79661,0.66592,1.14338,0.000593899,0.000593899,0.000593899
48,2380.33,0.97649,0.96049,1.27708,0.87438,0.86447,0.93157,0.75727,0.81628,0.63183,1.13839,0.000590092,0.000590092,0.000590092
49,2429.44,0.96832,0.96478,1.27867,0.88626,0.81423,0.91676,0.73327,0.87517,0.73159,1.17948,0.000586286,0.000586286,0.000586286
50,2479,0.96788,0.94959,1.27419,0.8941,0.84467,0.93293,0.75246,0.84561,0.65256,1.14355,0.000582479,0.000582479,0.000582479
51,2528.08,0.97991,0.97014,1.28097,0.88065,0.85424,0.92778,0.74151,0.87085,0.66839,1.16801,0.000578672,0.000578672,0.000578672
52,2577.34,0.96499,0.95094,1.27544,0.89746,0.85142,0.93692,0.76821,0.7907,0.65119,1.11753,0.000574866,0.000574866,0.000574866
53,2626.69,0.97124,0.94645,1.27505,0.89767,0.84646,0.93445,0.74578,0.87315,0.63639,1.15696,0.000571059,0.000571059,0.000571059
54,2675.98,0.97257,0.95205,1.27308,0.86469,0.85464,0.92774,0.76919,0.75706,0.64187,1.11257,0.000567253,0.000567253,0.000567253
55,2725.17,0.95047,0.93274,1.26119,0.88487,0.85689,0.93105,0.73822,0.89454,0.63761,1.17235,0.000563446,0.000563446,0.000563446
56,2774.57,0.95556,0.93593,1.26433,0.8748,0.8521,0.92793,0.75241,0.82474,0.68233,1.14155,0.00055964,0.00055964,0.00055964
57,2823.77,0.95088,0.91687,1.26239,0.90718,0.8633,0.94157,0.77104,0.79586,0.59504,1.12135,0.000555833,0.000555833,0.000555833
58,2872.97,0.94455,0.91474,1.26225,0.86603,0.85924,0.92862,0.77494,0.7477,0.63195,1.09752,0.000552027,0.000552027,0.000552027
59,2922.01,0.95214,0.93207,1.26823,0.87936,0.8517,0.93246,0.77345,0.7744,0.63727,1.11784,0.00054822,0.00054822,0.00054822
60,2971.43,0.94868,0.89579,1.25525,0.88966,0.84437,0.92707,0.76628,0.77882,0.64932,1.12472,0.000544414,0.000544414,0.000544414
